,City,Country,Lat,Long,Temp,Humidity,Wind Speed,Cloudiness
0,Pokhara,NP,28.21,83.99,12.5,85,0.93,89
1,Ushuaia,AR,-54.81,-68.31,5.7099999999999795,75,5.1,75
2,Mataura,NZ,-46.19,168.86,4.100000000000023,92,0.15,86
3,Grand Gaube,MU,-20.01,57.66,20.970000000000027,56,6.7,75
4,Vao,EE,59.1,26.19,15.300000000000011,86,1.88,60
5,Cidreira,BR,-30.17,-50.22,13.300000000000011,77,4.4,38
6,Zhigansk,RU,66.77,123.37,9.899999999999977,58,3.9,3
7,Provideniya,RU,64.42,-173.23,11.300000000000011,79,1.91,52
8,Kabare,RW,-1.65,29.38,13.300000000000011,90,1.03,36
9,Tasiilaq,GL,65.61,-37.64,9.149999999999977,70,1.0,75
10,Camacari,BR,-12.7,-38.32,26.149999999999977,78,4.6,40
11,Kavaratti,IN,10.57,72.64,27.69999999999999,79,7.11,100
12,Punta Arenas,CL,-53.16,-70.91,4.4599999999999795,86,4.1,75
13,Garissa,KE,-0.46,39.64,25.80000000000001,54,9.11,20
14,Puerto Ayora,EC,-0.74,-90.35,24.379999999999995,61,9.3,40
15,Chokurdakh,RU,70.62,147.9,4.600000000000023,79,8.67,99
16,Tuktoyaktuk,CA,69.44,-133.03,20.149999999999977,64,3.6,75
17,Burns Lake,CA,54.23,-125.76,16.899999999999977,49,2.71,0
18,Ocala,US,29.19,-82.14,34.05000000000001,62,3.1,1
19,San Pedro,AR,-33.68,-59.66,17.430000000000007,40,1.79,0
20,Les Cayes,HT,18.19,-73.75,28.80000000000001,75,6.69,1
21,Deputatskiy,RU,69.3,139.9,4.899999999999977,75,6.14,39
22,Tuatapere,NZ,-46.13,167.69,7.699999999999989,78,2.93,100
23,Vaini,IN,15.34,74.49,25.899999999999977,87,1.79,85
24,Berlevag,NO,70.86,29.09,9.149999999999977,81,5.7,20
25,Poum,MK,41.28,20.71,17.149999999999977,77,3.6,75
26,Yokadouma,CM,3.52,15.05,22.0,91,1.04,100
27,Westport,US,41.14,-73.36,28.920000000000016,42,3.1,1
28,Namibe,AO,-15.19,12.15,20.100000000000023,83,3.72,0
29,Lorengau,PG,-2.02,147.27,25.69999999999999,84,2.83,100
30,Busselton,AU,-33.64,115.35,4.389999999999986,69,5.6,0
31,Ribeira Grande,PT,38.52,-28.7,23.149999999999977,64,2.6,20
32,Lagoa,PT,37.14,-8.45,26.360000000000014,73,3.1,0
33,Saldanha,PT,41.42,-6.55,31.5,29,3.9,50
34,Esperance,AU,-33.86,121.89,7.149999999999977,87,6.2,0
35,Port Elizabeth,US,39.31,-74.98,29.5,48,2.67,40
36,Eureka,US,40.8,-124.16,21.189999999999998,68,4.6,1
37,Lulea,SE,65.58,22.15,15.149999999999977,58,2.7,0
38,Ampanihy,MG,-24.69,44.75,18.5,72,4.05,7
39,Adilcevaz,TR,38.8,42.73,19.149999999999977,45,1.0,0
40,Sao Joao da Barra,BR,-21.64,-41.05,26.100000000000023,54,5.1,0
41,Saint George,GR,39.45,22.34,24.689999999999998,47,3.1,75
42,Tezu,IN,27.93,96.16,21.899999999999977,97,1.12,100
43,Springbok,ZA,-29.67,17.88,10.699999999999989,81,0.74,0
44,Chuy,UY,-33.69,-53.46,11.600000000000023,70,1.88,79
45,Samarai,PG,-10.62,150.67,23.100000000000023,94,3.52,100
46,Yellowknife,CA,62.45,-114.38,21.95999999999998,53,2.1,20
47,Albany,US,42.65,-73.75,26.470000000000027,53,7.2,40
48,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,23.30000000000001,37,2.74,36
49,Georgetown,GY,6.8,-58.16,30.149999999999977,74,6.2,40
50,Kiunga,PG,-6.12,141.3,22.0,97,0.95,100
51,Guider,CM,9.93,13.94,24.30000000000001,79,1.14,25
52,San Francisco,CO,1.17,-76.88,25.149999999999977,38,1.5,40
53,Jamestown,AU,-33.21,138.6,9.199999999999989,93,0.7,91
54,El Tigre,VE,8.89,-64.25,30.19999999999999,57,2.62,25
55,Barrow,AR,-38.31,-60.23,12.800000000000011,52,4.44,0
56,Kavieng,PG,-2.57,150.8,27.30000000000001,74,1.74,81
57,Southbridge,US,42.08,-72.03,27.889999999999986,39,3.11,40
58,Luderitz,NA,-26.65,15.16,11.149999999999977,93,3.6,0
59,Lompoc,US,34.64,-120.46,27.220000000000027,27,4.1,0
60,Zapolyarnyy,RU,69.43,30.82,9.149999999999977,76,4.1,0
61,New Norfolk,AU,-42.78,147.06,11.129999999999995,71,3.1,75
62,Thompson,CA,55.74,-97.86,16.149999999999977,93,3.1,90
63,Lavumisa,ZA,-27.31,31.88,15.5,43,0.36,0
64,Okhotsk,RU,59.36,143.24,10.899999999999977,95,1.08,95
65,Rikitea,PF,-23.12,-134.97,23.600000000000023,82,4.48,99
66,Dikson,RU,73.51,80.55,4.5,100,1.9,98
67,Aflao,TG,6.12,1.19,26.149999999999977,78,3.6,20
68,Yermakovskoye,RU,53.28,92.4,11.899999999999977,90,0.27,36
69,Abadan,IR,30.36,48.26,36.14999999999998,19,3.1,0
70,Atuona,PF,-9.8,-139.03,27.100000000000023,77,9.52,18
71,Brae,GB,60.4,-1.35,13.579999999999984,87,3.6,99
72,Podyuga,RU,61.09,40.86,11.699999999999989,71,0.32,61
73,Poole,GB,50.72,-1.98,19.410000000000025,63,3.6,0
74,Port Alfred,ZA,-33.59,26.89,14.04000000000002,89,1.18,0
75,Husavik,CA,50.56,-96.99,27.269999999999982,43,2.24,59
76,Bolivar,US,37.61,-93.41,23.850000000000023,88,5.1,90
77,Puerto Madryn,AR,-42.77,-65.04,12.600000000000023,36,4.47,56
78,Dingle,PH,11.0,122.67,22.69999999999999,97,0.74,100
79,Castro,CL,-42.48,-73.76,8.149999999999977,100,8.7,90
80,Hobart,AU,-42.88,147.33,11.329999999999984,62,2.6,75
81,Rabat,MA,34.02,-6.83,21.879999999999995,77,4.6,75
82,Lebu,ET,8.96,38.73,15.0,80,1.3,10
83,Avarua,CK,-21.21,-159.78,22.149999999999977,64,3.1,2
84,Hithadhoo,MV,-0.6,73.08,27.80000000000001,76,10.22,99
85,Saskylakh,RU,71.97,114.09,8.0,68,0.91,16
86,Bambous Virieux,MU,-20.34,57.76,20.920000000000016,56,6.7,75
87,Axim,GH,4.87,-2.24,24.899999999999977,82,4.12,100
88,Egvekinot,RU,66.32,-179.17,8.399999999999977,90,5.42,100
89,Norman Wells,CA,65.28,-126.83,22.149999999999977,60,1.0,75
90,Qinzhou,CN,21.96,108.62,27.80000000000001,89,2.85,97
91,Roald,NO,62.58,6.12,11.300000000000011,93,3.6,75
92,Kapaa,US,22.08,-159.32,27.45999999999998,69,5.7,75
93,Flinders,AU,-34.58,150.85,11.139999999999986,66,7.2,0
94,Bluff,AU,-23.58,149.07,7.699999999999989,78,2.19,77
95,Butaritari,KI,3.07,172.79,29.19999999999999,73,5.39,12
96,Saint-Philippe,CA,45.36,-73.48,26.519999999999982,42,2.1,40
97,Lavrentiya,RU,65.58,-170.99,15.100000000000023,66,2.0,19
98,Bridlington,GB,54.08,-0.19,18.319999999999993,72,4.6,20
99,Mehriz,IR,31.58,54.44,38.14999999999998,11,3.1,75
100,Carnarvon,ZA,-30.97,22.13,14.300000000000011,19,3.75,0
101,Port-Cartier,CA,50.03,-66.88,25.149999999999977,57,5.7,75
102,Frontera,MX,18.53,-92.64,33.14999999999998,52,4.6,5
103,Eyl,SO,7.98,49.82,26.100000000000023,62,10.48,53
104,Pangnirtung,CA,66.15,-65.72,6.149999999999977,93,3.6,90
105,Crema,IT,45.36,9.69,21.420000000000016,68,1.0,75
106,Quatre Cocos,MU,-20.21,57.76,20.939999999999998,56,6.7,75
107,Nouadhibou,MR,20.93,-17.03,23.149999999999977,73,11.3,3
108,Narsaq,GL,60.91,-46.05,16.149999999999977,51,4.1,20
109,Arraial do Cabo,BR,-22.97,-42.02,24.149999999999977,78,6.2,0
110,Severo-Kurilsk,RU,50.68,156.12,6.600000000000023,97,7.94,100
111,Upernavik,GL,72.79,-56.15,8.800000000000011,60,2.29,33
112,Utete,TZ,-7.99,38.76,22.399999999999977,68,2.64,57
113,Kloulklubed,PW,7.04,134.26,27.149999999999977,78,4.1,75
114,Cabo San Lucas,MX,22.89,-109.91,32.31,46,5.1,20
115,Havre-Saint-Pierre,CA,50.23,-63.6,17.149999999999977,88,3.6,90
116,Aklavik,CA,68.22,-135.01,18.75,82,3.1,75
117,La Palma,CO,5.36,-74.39,28.80000000000001,58,1.22,36
118,East London,ZA,-33.02,27.91,15.149999999999977,93,2.6,40
119,Hermanus,ZA,-34.42,19.24,12.370000000000005,91,0.45,25
120,Qaanaaq,GL,77.48,-69.36,6.899999999999977,62,0.92,66
121,Mar del Plata,AR,-46.43,-67.52,9.0,48,12.7,95
122,Sitka,US,37.17,-99.65,32.93000000000001,47,3.13,0
123,Cape Town,ZA,-33.93,18.42,12.220000000000027,93,2.1,0
124,Rome,IT,41.89,12.48,23.170000000000016,47,1.5,0
125,Vila Franca do Campo,PT,37.72,-25.43,22.149999999999977,73,4.6,20
126,Morros,BR,-2.87,-44.04,29.149999999999977,74,5.7,75
127,Shubarkuduk,KZ,49.15,56.49,23.30000000000001,49,3.58,46
128,Mount Gambier,AU,-37.83,140.78,10.149999999999977,100,4.6,75
129,Hasaki,JP,35.73,140.83,19.089999999999975,100,2.6,75
130,Iqaluit,CA,63.75,-68.52,6.9599999999999795,93,2.86,90
131,Kautokeino,NO,69.01,23.04,9.699999999999989,70,1.73,100
132,Shubarshi,KZ,48.59,57.19,23.80000000000001,45,2.93,0
133,Sioux Lookout,CA,50.1,-91.92,25.95999999999998,74,5.1,90
134,Loukhi,RU,66.08,33.04,9.100000000000023,95,1.72,86
135,Bassano,CA,50.79,-112.47,21.730000000000018,47,4.02,75
136,Mecca,SA,21.43,39.83,32.60000000000002,25,2.98,21
137,Vila Velha,BR,-3.71,-38.6,28.870000000000005,66,6.7,20
138,Jiuquan,CN,39.73,98.49,25.69999999999999,19,4.84,14
139,Naze,NG,5.43,7.07,23.19999999999999,94,2.65,99
140,Hilo,US,19.71,-155.08,25.870000000000005,74,1.5,90
141,Victoria,BN,5.28,115.24,24.620000000000005,83,6.7,75
142,La Sarre,CA,48.8,-79.2,24.30000000000001,43,4.24,88
143,Tokur,RU,53.13,132.9,15.0,97,1.06,100
144,Sabang,PH,13.8,121.11,22.600000000000023,95,0.79,100
145,Hambantota,LK,6.12,81.12,26.149999999999977,94,1.5,75
146,Mao,DO,19.55,-71.08,33.23000000000002,44,6.2,40
147,Pavilosta,LV,56.89,21.19,17.149999999999977,88,2.6,67
148,Barrhead,CA,54.12,-114.4,19.149999999999977,68,2.6,20
149,Codrington,AU,-28.95,153.24,5.360000000000014,93,2.6,0
150,Sharjah,AE,25.36,55.39,33.79000000000002,67,4.1,0
151,Boizenburg,DE,53.38,10.72,15.180000000000007,72,4.6,75
152,Kutno,PL,52.23,19.36,20.04000000000002,32,1.5,0
153,Terrace,CA,54.52,-128.61,20.600000000000023,63,2.1,75
154,Filadelfia,PY,-22.35,-60.04,22.30000000000001,76,3.61,98
155,Dunedin,NZ,-45.87,170.5,5.149999999999977,90,1.34,100
156,Puerto Escondido,MX,15.86,-97.07,31.149999999999977,62,3.1,75
157,Sola,TZ,-3.17,33.8,22.899999999999977,36,4.25,0
158,Palmer,AU,-34.85,139.16,10.810000000000002,93,2.1,75
159,Rio Gallegos,AR,-51.62,-69.22,7.149999999999977,70,8.7,20
160,Mahebourg,MU,-20.41,57.7,20.910000000000025,56,6.7,75
161,Pochutla,MX,15.74,-96.47,31.350000000000023,62,1.38,75
162,Fairview,CA,56.07,-118.38,17.75999999999999,93,1.57,90
163,Talnakh,RU,69.49,88.39,21.149999999999977,64,7.0,20
164,Plattsburgh,US,44.69,-73.46,25.54000000000002,50,3.1,20
165,Marawi,PH,8.0,124.29,24.04000000000002,90,0.89,100
166,Duluth,US,46.77,-92.13,29.620000000000005,66,5.1,75
167,Clyde River,CA,70.47,-68.59,5.149999999999977,86,6.7,75
168,Lalitpur,IN,24.69,78.42,29.399999999999977,57,8.06,40
169,Chumikan,RU,54.72,135.31,12.300000000000011,95,1.51,100
170,Zhuhai,CN,40.71,112.04,18.149999999999977,93,3.0,40
171,Vanavara,RU,60.35,102.28,18.100000000000023,91,3.66,100
172,Pasni,PK,25.26,63.48,27.899999999999977,80,2.56,34
173,Torbay,CA,47.66,-52.73,12.95999999999998,100,5.7,90
174,Shiyan,CN,32.65,110.78,19.600000000000023,95,0.4,40
175,Kodiak,US,39.95,-94.76,29.75,19,5.7,1
176,Nova Olinda do Norte,BR,-3.89,-59.1,28.30000000000001,85,1.47,35
177,Victoria,BN,5.28,115.24,24.610000000000014,83,6.7,75
178,Taltal,CL,-25.41,-70.49,15.899999999999977,56,1.68,60
179,Isangel,VU,-19.55,169.27,22.149999999999977,83,3.1,20
180,Pacific Grove,US,36.62,-121.92,25.139999999999986,30,5.1,1
181,Muros,ES,42.77,-9.06,20.30000000000001,93,5.1,75
182,Abashiri,JP,44.01,144.25,14.589999999999975,77,0.89,0
183,Bathsheba,BB,13.22,-59.52,29.279999999999973,70,9.8,40
184,Katsuura,JP,33.93,134.5,21.819999999999993,83,3.6,40
185,Coxim,BR,-18.5,-54.75,33.19999999999999,25,2.24,18
186,Nanortalik,GL,60.14,-45.24,4.699999999999989,92,2.58,99
187,Sistranda,NO,63.73,8.83,11.240000000000009,81,3.6,75
188,Anadyr,RU,64.73,177.51,14.100000000000023,82,5.0,20
189,Zverinogolovskoye,RU,54.46,64.85,22.19999999999999,73,4.76,13
190,Mangai,CD,-4.07,19.59,27.69999999999999,41,0.46,16
191,Weligama,LK,5.97,80.42,29.0,77,7.68,99
192,Buchanan,LR,5.88,-10.05,27.149999999999977,83,2.6,75
193,Djambala,CG,-2.55,14.76,26.399999999999977,58,3.45,73
194,Dongsheng,CN,29.72,112.52,24.600000000000023,91,0.33,89
195,Yaan,NG,7.38,8.57,25.30000000000001,89,4.04,56
196,Namatanai,PG,-3.66,152.44,25.69999999999999,79,2.53,93
197,Richards Bay,ZA,-28.77,32.06,21.30000000000001,79,5.16,0
198,Itaituba,BR,-4.26,-55.99,33.14999999999998,55,1.98,40
199,Muravlenko,RU,63.79,74.5,25.19999999999999,61,4.89,18
200,Eganville,CA,45.54,-77.1,27.139999999999986,57,3.1,61
201,Altamont,CA,49.4,-98.5,27.99000000000001,62,5.7,1
202,Bay-Khaak,RU,51.16,94.47,13.800000000000011,70,0.97,10
203,Makat,KZ,47.65,53.35,27.80000000000001,37,1.37,0
204,Pedreiras,BR,-4.57,-44.6,30.69999999999999,60,1.15,89
205,Murdochville,CA,48.96,-65.49,16.19999999999999,82,5.18,100
206,Dauphin,CA,51.15,-100.04,25.149999999999977,61,6.7,20
207,Tarko-Sale,RU,64.92,77.78,25.5,58,4.61,32
208,Kundiawa,PG,-6.02,144.97,11.199999999999989,98,0.5,100
209,Yulara,AU,-25.24,130.99,9.149999999999977,66,4.1,34
210,Maanshan,CN,31.7,118.5,23.149999999999977,94,2.0,96
211,Ngunguru,NZ,-35.62,174.5,11.259999999999991,93,1.34,90
212,Saint-Georges,CA,46.12,-70.67,23.889999999999986,56,2.68,0
213,Nokaneng,BW,-19.66,22.19,16.0,19,2.28,0
214,Touros,BR,-5.2,-35.46,29.149999999999977,62,7.2,75
215,Maturin,VE,9.75,-63.18,28.899999999999977,64,2.31,70
216,Shalinskoye,RU,55.72,93.76,12.399999999999977,98,0.6,32
217,Hirara,JP,24.8,125.28,29.100000000000023,75,3.28,100
218,Dwarka,IN,28.58,77.04,29.730000000000018,78,3.1,40
219,Setermoen,NO,68.86,18.35,10.610000000000014,66,4.6,75
220,Baruun-Urt,MN,46.68,113.28,20.899999999999977,54,4.44,93
221,Myitkyina,MM,25.38,97.4,22.399999999999977,98,0.55,100
222,Bethel,US,60.79,-161.76,16.399999999999977,82,4.1,75
223,Faya,SA,18.39,42.45,24.69999999999999,60,1.5,5
224,Waipawa,NZ,-39.94,176.59,10.70999999999998,76,4.02,100
225,Abonnema,NG,4.71,6.79,23.5,95,3.0,100
226,Aygut,AM,40.68,45.17,14.699999999999989,94,1.22,54
227,Tiksi,RU,71.64,128.87,7.5,65,9.68,95
228,Pangody,RU,65.85,74.49,24.30000000000001,54,4.0,32
229,Miaray,PH,7.57,125.04,24.589999999999975,61,1.34,100
230,Changji,CN,32.07,116.17,22.69999999999999,88,2.74,97
231,Sladkovo,RU,55.53,70.34,21.0,70,5.85,0
232,Lichtenfels,DE,50.15,11.06,18.920000000000016,59,3.6,0
233,Osypenko,UA,48.04,34.39,22.149999999999977,49,4.0,40
234,Kruisfontein,ZA,-34.0,24.73,9.800000000000011,91,1.05,0
235,Geraldton,CA,49.72,-86.95,29.149999999999977,62,4.1,75
236,Ambon,FR,47.55,-2.56,22.019999999999982,47,3.1,0
237,Souillac,FR,45.6,-0.6,25.99000000000001,32,4.1,0
238,Kushiro,JP,43.11,144.15,12.100000000000023,91,1.27,92
239,Dothan,US,31.22,-85.39,33.360000000000014,62,4.1,40
240,Tornio,FI,61.12,27.27,15.060000000000002,63,3.1,0
241,Taft,PH,11.9,125.42,22.399999999999977,98,3.44,100
242,Necochea,AR,-38.55,-58.74,11.819999999999993,85,2.68,0
243,Te Anau,NZ,-45.41,167.72,3.0,91,1.11,96
244,Ballina,IE,54.11,-9.15,18.779999999999973,64,3.1,75
245,Emerald,AU,-23.53,148.16,9.529999999999973,57,5.7,76
246,Choix,MX,26.71,-108.33,34.89999999999998,41,2.35,51
247,Ous,RU,60.91,61.52,22.80000000000001,74,4.06,85
248,Rocha,UY,-34.48,-54.34,11.600000000000023,76,4.72,92
249,Solnechnyy,RU,50.72,136.64,16.0,95,0.64,99
250,Nyagan,RU,62.14,65.43,23.80000000000001,60,2.59,16
251,Azuaga,ES,38.26,-5.68,31.819999999999993,36,5.81,1
252,Goure,NE,13.98,10.27,37.89999999999998,23,6.86,53
253,Peniche,PT,39.36,-9.38,19.05000000000001,82,7.2,40
254,Bandar-e Lengeh,IR,26.56,54.88,33.14999999999998,75,4.86,0
255,Lyuban,BY,52.8,28.0,15.399999999999977,82,1.3,2
256,Ormara,PK,25.21,64.64,27.80000000000001,77,5.41,92
257,Noumea,NC,-22.28,166.46,18.149999999999977,93,6.79,90
258,Ankazoabo,MG,-22.29,44.51,16.30000000000001,46,2.22,0
259,Kununurra,AU,-15.77,128.74,16.149999999999977,31,3.1,15
260,Goya,AR,-29.14,-59.27,20.69999999999999,48,3.14,0
261,Ada,US,34.77,-96.68,29.879999999999995,55,3.6,40
262,Caravelas,BR,-17.73,-39.27,26.5,61,4.22,0
263,Aranos,NA,-24.14,19.11,15.899999999999977,15,5.38,0
264,Nampula,MZ,-15.12,39.26,20.149999999999977,88,3.1,40
265,Gao,ML,16.28,-0.04,38.69999999999999,18,4.17,70
266,Rio Claro,BR,-22.41,-47.56,28.149999999999977,30,4.1,0
267,Harnai,PK,30.1,67.94,32.80000000000001,28,1.76,67
268,Sumbawanga,TZ,-7.95,31.62,17.149999999999977,63,1.4,5
269,Ostrovnoy,RU,68.05,39.51,6.0,97,5.77,100
270,Pozo Colorado,PY,-23.49,-58.8,22.19999999999999,75,3.99,100
271,Samaipata,BO,-18.18,-63.88,18.899999999999977,86,2.05,83
272,Coquimbo,CL,-29.95,-71.34,20.54000000000002,71,6.2,0
273,Fort Morgan,US,40.25,-103.8,31.29000000000002,35,2.6,1
274,Port Lincoln,AU,-34.72,135.86,13.899999999999977,86,4.74,100
